Number,Age,Gender,Education,Country,Ethnicity,Alcohol,Cannabis
28,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL6,CL6
29,0.49788,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
30,1.09449,-0.48246,1.98437,0.96082,-0.31685,CL0,CL0
31,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL2
32,0.49788,0.48246,-1.7379,-0.28519,-0.31685,CL3,CL0
33,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL6,CL3
34,-0.95197,-0.48246,0.45468,0.96082,-0.31685,CL6,CL0
35,0.49788,-0.48246,0.45468,-0.57009,0.1144,CL4,CL2
36,2.59171,-0.48246,-2.43591,0.96082,-0.31685,CL3,CL0
37,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL6,CL0
38,1.82213,-0.48246,-2.43591,-0.57009,-0.31685,CL6,CL3
39,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL6,CL1
40,2.59171,0.48246,-0.05921,0.96082,-0.31685,CL6,CL1
41,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL5,CL0
42,0.49788,0.48246,0.45468,0.96082,-0.31685,CL4,CL0
43,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL6,CL2
44,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL3
45,-0.07854,-0.48246,0.45468,0.96082,0.1144,CL5,CL0
46,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
47,1.09449,0.48246,-0.61113,0.24923,-0.31685,CL3,CL1
48,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL5,CL1
49,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL5
50,-0.07854,0.48246,1.16365,0.96082,-0.22166,CL6,CL0
51,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL6,CL3
52,1.09449,-0.48246,-0.05921,0.24923,-0.31685,CL2,CL2
53,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
54,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL5,CL1
55,1.82213,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL2
56,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL3,CL0
57,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
58,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL1,CL0
59,1.09449,-0.48246,-1.22751,0.96082,-0.31685,CL5,CL5
60,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL5,CL0
61,-0.07854,0.48246,1.98437,0.96082,-0.31685,CL5,CL0
62,1.09449,-0.48246,1.16365,0.96082,-0.50212,CL5,CL1
63,-0.07854,-0.48246,0.45468,0.96082,-0.31685,CL5,CL0
64,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL5,CL0
65,1.09449,-0.48246,1.98437,0.96082,-0.31685,CL6,CL6
66,0.49788,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
67,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL4,CL0
68,-0.07854,-0.48246,1.16365,0.96082,-0.31685,CL5,CL2
69,0.49788,-0.48246,-0.05921,-0.28519,-0.31685,CL5,CL2
70,1.09449,0.48246,-1.7379,0.96082,-0.31685,CL6,CL0
71,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,CL6,CL2
72,1.09449,0.48246,-1.22751,0.24923,-0.31685,CL5,CL1
73,1.09449,-0.48246,-1.22751,0.96082,-0.31685,CL6,CL1
74,1.09449,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL0
75,2.59171,0.48246,-1.7379,0.96082,-0.31685,CL3,CL0
76,-0.07854,-0.48246,0.45468,0.96082,-0.31685,CL5,CL1
77,1.09449,0.48246,-1.43719,0.24923,-0.31685,CL4,CL0
78,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL3,CL2
79,0.49788,-0.48246,-0.61113,0.96082,-0.31685,CL6,CL1
80,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
81,2.59171,0.48246,1.98437,0.24923,-0.31685,CL6,CL1
82,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
83,1.82213,-0.48246,1.16365,0.24923,-0.31685,CL5,CL0
84,1.82213,0.48246,-1.43719,0.96082,-0.22166,CL3,CL1
85,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL5,CL2
86,-0.07854,0.48246,-1.22751,0.96082,-0.31685,CL3,CL1
87,0.49788,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL1
88,1.82213,-0.48246,-1.7379,0.96082,-0.31685,CL5,CL1
89,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL3,CL2
90,0.49788,0.48246,1.16365,0.96082,-0.31685,CL5,CL0
91,0.49788,0.48246,1.16365,0.96082,-0.31685,CL6,CL3
92,0.49788,-0.48246,-0.05921,0.24923,-0.31685,CL2,CL1
93,-0.07854,-0.48246,-1.22751,0.96082,-0.31685,CL4,CL1
94,2.59171,0.48246,-1.7379,0.96082,-0.31685,CL3,CL0
95,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL5,CL2
96,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL6,CL1
97,0.49788,0.48246,0.45468,0.24923,-0.31685,CL4,CL2
98,1.09449,0.48246,1.16365,0.96082,-0.31685,CL5,CL1
99,0.49788,-0.48246,1.98437,0.24923,-0.31685,CL4,CL1
100,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL6,CL3
101,-0.07854,-0.48246,1.16365,-0.28519,-0.31685,CL6,CL6
102,1.09449,0.48246,-1.7379,-0.09765,-0.31685,CL4,CL1
103,1.09449,-0.48246,-1.22751,0.96082,-0.31685,CL6,CL1
104,1.09449,0.48246,-0.05921,0.24923,-0.31685,CL4,CL0
105,-0.07854,0.48246,-0.61113,0.24923,-0.31685,CL5,CL6
106,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL3,CL0
107,-0.07854,0.48246,-0.61113,0.96082,-0.31685,CL4,CL0
108,0.49788,0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
109,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
110,1.09449,0.48246,-0.61113,0.96082,-0.31685,CL5,CL2
111,1.09449,-0.48246,1.16365,0.96082,-0.50212,CL5,CL0
112,-0.07854,-0.48246,1.16365,0.96082,-0.31685,CL6,CL3
113,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL3,CL2
114,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL4,CL2
115,0.49788,-0.48246,-0.61113,0.96082,-0.31685,CL4,CL6
116,-0.07854,0.48246,-0.05921,0.24923,-0.31685,CL5,CL2
117,0.49788,-0.48246,-0.05921,0.24923,-0.31685,CL4,CL2
118,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
119,0.49788,0.48246,-0.61113,-0.57009,-0.31685,CL5,CL1
120,0.49788,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
121,-0.07854,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
122,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL2,CL0
123,1.82213,-0.48246,1.16365,0.96082,-0.31685,CL6,CL1
124,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
125,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL3,CL0
126,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL6,CL0
127,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL5,CL1
128,1.09449,0.48246,-1.43719,0.96082,-0.31685,CL5,CL0
129,0.49788,-0.48246,1.98437,0.96082,-0.50212,CL0,CL0
130,1.09449,0.48246,1.16365,0.96082,-0.31685,CL6,CL0
131,1.09449,0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
132,1.09449,0.48246,-1.7379,0.96082,0.1144,CL4,CL0
133,0.49788,0.48246,-1.22751,0.21128,-0.31685,CL4,CL0
134,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL5,CL1
135,-0.07854,0.48246,1.16365,0.96082,0.126,CL6,CL1
136,0.49788,0.48246,-1.7379,0.96082,-0.31685,CL1,CL0
137,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
138,1.09449,0.48246,0.45468,0.96082,-0.31685,CL4,CL0
139,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL6,CL1
140,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL1
141,-0.07854,0.48246,0.45468,0.96082,-0.50212,CL5,CL0
142,0.49788,0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
143,0.49788,-0.48246,-1.43719,0.96082,-0.31685,CL6,CL1
144,0.49788,-0.48246,-0.05921,0.96082,-1.10702,CL1,CL0
145,1.09449,-0.48246,-0.05921,0.24923,-0.31685,CL6,CL3
146,1.09449,0.48246,0.45468,0.96082,-0.31685,CL4,CL1
147,1.82213,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL1
148,0.49788,-0.48246,1.16365,0.96082,-1.10702,CL4,CL0
149,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL4,CL0
150,1.09449,0.48246,0.45468,0.96082,-0.31685,CL4,CL2
151,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
152,0.49788,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
153,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
154,-0.07854,-0.48246,0.45468,0.96082,-0.31685,CL6,CL1
155,-0.95197,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
156,0.49788,0.48246,0.45468,0.96082,-1.10702,CL5,CL0
157,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL2
158,-0.07854,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL0
159,0.49788,0.48246,0.45468,-0.09765,-0.31685,CL3,CL0
160,1.09449,0.48246,-0.61113,0.96082,-1.10702,CL4,CL0
161,1.09449,-0.48246,1.16365,-0.28519,-0.31685,CL5,CL6
162,0.49788,-0.48246,0.45468,0.96082,-1.10702,CL5,CL0
163,-0.07854,0.48246,0.45468,-0.46841,-0.31685,CL3,CL2
164,-0.07854,0.48246,-0.61113,0.96082,-0.31685,CL4,CL0
165,-0.07854,0.48246,1.98437,0.96082,-0.31685,CL3,CL1
166,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL6,CL1
167,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL4
168,-0.07854,0.48246,-0.05921,0.96082,-1.10702,CL2,CL0
169,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
170,-0.95197,0.48246,-1.22751,0.96082,-0.31685,CL5,CL0
171,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL2,CL2
172,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL6,CL1
173,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
174,0.49788,0.48246,0.45468,0.96082,-0.31685,CL6,CL0
175,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL6,CL0
176,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
177,0.49788,0.48246,0.45468,0.96082,0.1144,CL3,CL0
178,0.49788,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
179,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
180,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
181,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
182,-0.07854,-0.48246,1.98437,0.96082,-0.31685,CL5,CL0
183,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
184,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL6,CL0
185,1.82213,-0.48246,-1.22751,0.96082,-0.31685,CL6,CL0
186,0.49788,0.48246,0.45468,0.24923,-0.31685,CL5,CL3
187,0.49788,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
188,1.82213,0.48246,-1.7379,0.96082,-0.31685,CL4,CL1
189,1.09449,0.48246,-1.7379,0.96082,-0.31685,CL4,CL0
190,-0.95197,0.48246,1.16365,0.96082,-0.31685,CL5,CL2
191,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
192,-0.95197,-0.48246,0.45468,0.96082,0.126,CL5,CL2
193,-0.07854,0.48246,-0.05921,0.24923,-0.31685,CL5,CL5
194,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
195,-0.07854,0.48246,0.45468,0.24923,0.126,CL3,CL2
196,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
197,-0.95197,-0.48246,0.45468,0.96082,-1.10702,CL4,CL0
198,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
199,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL6,CL6
200,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL4,CL4
201,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL6,CL0
202,0.49788,-0.48246,1.16365,0.96082,0.1144,CL5,CL2
203,0.49788,0.48246,0.45468,0.96082,-0.31685,CL6,CL1
204,2.59171,-0.48246,-2.43591,0.96082,-0.31685,CL5,CL0
205,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
206,0.49788,0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
207,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
208,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL5,CL6
209,0.49788,0.48246,0.45468,0.96082,-0.31685,CL4,CL6
210,-0.07854,-0.48246,1.16365,0.96082,-0.50212,CL0,CL0
211,-0.07854,0.48246,-0.61113,0.96082,-0.31685,CL3,CL0
212,1.09449,0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
213,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL6,CL1
214,1.09449,0.48246,-0.05921,0.21128,-0.31685,CL5,CL0
215,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
216,-0.07854,0.48246,0.45468,0.24923,-0.31685,CL5,CL4
217,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL5,CL1
218,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL2,CL1
219,-0.07854,0.48246,1.16365,-0.28519,-0.31685,CL4,CL3
220,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL6,CL1
221,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
222,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL3,CL0
223,0.49788,0.48246,0.45468,0.96082,-0.31685,CL6,CL2
224,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL1,CL0
225,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
226,0.49788,0.48246,0.45468,0.96082,-0.31685,CL6,CL0
227,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
228,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL4
229,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL6,CL2
230,1.09449,0.48246,0.45468,0.96082,-0.31685,CL6,CL1
231,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL5,CL1
232,2.59171,0.48246,1.16365,0.96082,-0.31685,CL6,CL0
233,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
234,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL6,CL0
235,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL4,CL2
236,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
237,-0.07854,0.48246,1.16365,0.96082,-0.31685,CL6,CL0
238,-0.07854,0.48246,-1.7379,0.96082,-0.31685,CL5,CL3
239,-0.95197,0.48246,-1.22751,0.96082,-0.31685,CL4,CL0
240,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
241,0.49788,0.48246,1.16365,0.96082,-0.31685,CL4,CL0
242,-0.07854,0.48246,-1.22751,-0.28519,-0.31685,CL5,CL2
243,-0.95197,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
244,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
245,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL5,CL1
246,-0.07854,0.48246,-0.61113,0.96082,-0.31685,CL5,CL1
247,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
248,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL6,CL0
249,1.09449,0.48246,1.98437,0.96082,-0.31685,CL5,CL0
250,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
251,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL5,CL0
252,0.49788,0.48246,0.45468,0.96082,-0.31685,CL4,CL0
253,-0.95197,0.48246,1.16365,0.96082,-0.31685,CL5,CL2
254,1.09449,0.48246,1.98437,0.96082,-0.31685,CL6,CL2
255,-0.07854,-0.48246,-0.05921,0.96082,-0.31685,CL4,CL3
256,0.49788,0.48246,1.16365,0.96082,-0.31685,CL5,CL2
257,-0.95197,0.48246,-0.61113,0.96082,-0.31685,CL4,CL2
258,0.49788,-0.48246,1.98437,0.96082,-0.31685,CL4,CL1
259,2.59171,-0.48246,1.98437,0.96082,-0.31685,CL5,CL0
260,2.59171,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL0
261,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
262,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL2,CL1
263,1.09449,-0.48246,1.16365,0.96082,-0.50212,CL3,CL0
264,1.82213,0.48246,-2.43591,0.96082,-0.31685,CL5,CL0
265,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
266,0.49788,0.48246,0.45468,0.96082,-1.10702,CL2,CL0
267,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL6,CL3
268,0.49788,-0.48246,-0.05921,0.96082,-1.10702,CL6,CL0
269,1.09449,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
270,0.49788,0.48246,1.16365,0.96082,-1.10702,CL4,CL0
271,1.09449,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
272,1.09449,0.48246,1.16365,0.96082,-0.31685,CL6,CL1
273,1.82213,-0.48246,1.98437,0.96082,-0.31685,CL6,CL0
274,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL6,CL3
275,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL6,CL3
276,0.49788,0.48246,1.16365,0.96082,-0.31685,CL4,CL1
277,1.82213,-0.48246,1.98437,0.96082,-0.31685,CL6,CL0
278,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL4
279,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
280,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL5,CL1
281,1.82213,-0.48246,1.16365,0.96082,-0.31685,CL6,CL0
282,1.09449,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
283,1.09449,0.48246,1.16365,0.96082,-0.31685,CL5,CL1
284,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL6,CL0
285,0.49788,-0.48246,-0.05921,-0.28519,-0.31685,CL3,CL2
286,0.49788,-0.48246,0.45468,0.96082,-0.31685,CL5,CL0
287,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
288,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL3,CL1
289,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,CL6,CL0
290,-0.07854,0.48246,1.16365,0.96082,-0.31685,CL4,CL2
291,0.49788,0.48246,-0.05921,0.96082,-1.10702,CL0,CL0
292,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL5
293,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL3,CL0
295,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL3,CL3
296,-0.95197,0.48246,-1.43719,0.96082,-0.31685,CL5,CL0
297,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL5,CL2
298,2.59171,0.48246,-1.7379,0.96082,-0.31685,CL0,CL0
300,0.49788,0.48246,0.45468,0.96082,-0.31685,CL5,CL0
301,0.49788,0.48246,-0.05921,-0.57009,-0.31685,CL5,CL0
302,-0.07854,0.48246,-0.61113,-0.57009,-0.31685,CL3,CL0
303,0.49788,0.48246,1.98437,0.96082,-0.31685,CL6,CL0
304,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL6,CL2
305,1.09449,0.48246,0.45468,0.96082,-0.31685,CL6,CL0
306,1.09449,0.48246,0.45468,0.96082,-0.31685,CL4,CL0
307,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL5,CL2
308,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL5,CL2
309,0.49788,0.48246,-1.22751,0.96082,-0.31685,CL5,CL0
310,0.49788,-0.48246,1.16365,0.96082,-0.31685,CL6,CL0
311,1.09449,0.48246,0.45468,0.96082,-0.31685,CL3,CL0
312,-0.95197,0.48246,-1.7379,0.96082,-0.31685,CL3,CL1
313,1.09449,0.48246,1.16365,0.96082,-0.31685,CL6,CL0
314,-0.07854,0.48246,1.16365,0.96082,-0.31685,CL5,CL0
315,-0.95197,0.48246,-1.22751,0.21128,-0.31685,CL5,CL0
316,1.09449,0.48246,1.98437,0.96082,-0.31685,CL5,CL0
317,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
318,0.49788,-0.48246,0.45468,0.96082,-1.10702,CL5,CL2
319,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL2,CL0
320,1.09449,0.48246,-1.7379,0.96082,0.1144,CL4,CL0
321,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL1
322,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL5,CL0
323,-0.95197,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
324,1.09449,-0.48246,-1.43719,0.96082,-0.31685,CL6,CL2
325,-0.07854,0.48246,1.98437,0.96082,-0.31685,CL5,CL1
326,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
327,0.49788,-0.48246,-1.22751,0.96082,-0.31685,CL6,CL4
328,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL6,CL0
329,-0.07854,0.48246,-0.05921,0.96082,-0.31685,CL5,CL1
330,1.09449,-0.48246,-0.05921,0.96082,-0.31685,CL4,CL1
331,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL1,CL0
332,0.49788,-0.48246,-2.43591,0.96082,-0.31685,CL6,CL2
333,1.82213,0.48246,-1.22751,0.24923,-0.31685,CL0,CL0
334,-0.95197,0.48246,-0.61113,0.96082,-0.31685,CL6,CL5
335,2.59171,-0.48246,-0.61113,0.24923,-0.31685,CL4,CL0
336,2.59171,0.48246,-1.7379,0.24923,-0.31685,CL4,CL0
337,-0.07854,0.48246,1.16365,0.96082,-0.31685,CL6,CL3
338,1.09449,0.48246,1.16365,0.96082,-1.10702,CL5,CL0
339,1.09449,0.48246,-0.05921,0.24923,-0.31685,CL5,CL2
340,0.49788,-0.48246,1.98437,0.96082,-0.31685,CL6,CL0
341,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
342,0.49788,0.48246,1.16365,0.96082,-0.31685,CL5,CL6
343,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
344,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL1,CL0
345,-0.95197,0.48246,-2.43591,0.96082,-0.31685,CL5,CL6
346,0.49788,0.48246,1.16365,0.96082,-0.31685,CL1,CL1
347,0.49788,0.48246,0.45468,0.96082,-0.31685,CL2,CL2
348,1.09449,0.48246,0.45468,0.96082,-0.31685,CL6,CL3
349,1.09449,-0.48246,1.16365,0.96082,-0.31685,CL2,CL1
350,1.09449,-0.48246,-0.05921,0.96082,-1.10702,CL6,CL0
351,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL5,CL3
352,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL4,CL2
353,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL5,CL4
354,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL1,CL1
355,-0.07854,-0.48246,-1.7379,0.96082,-0.31685,CL2,CL2
356,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL2,CL1
357,-0.07854,-0.48246,-2.43591,0.96082,-0.31685,CL6,CL3
358,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL6,CL1
359,0.49788,-0.48246,-1.7379,0.96082,-0.31685,CL3,CL3
360,0.49788,-0.48246,-0.61113,0.96082,-0.31685,CL2,CL2
361,-0.07854,0.48246,-0.61113,0.96082,-0.31685,CL5,CL2
362,1.09449,0.48246,0.45468,0.96082,-0.31685,CL2,CL2
363,0.49788,0.48246,-0.05921,0.96082,-0.31685,CL5,CL3
364,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL2,CL2
365,1.09449,0.48246,-0.05921,0.96082,-0.31685,CL5,CL0
366,0.49788,0.48246,1.98437,0.96082,-0.31685,CL5,CL1
367,1.09449,-0.48246,-0.05921,0.96082,-0.50212,CL5,CL1
368,0.49788,0.48246,0.45468,0.96082,-0.50212,CL0,CL0
369,1.09449,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
370,-0.07854,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL6
371,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL3,CL2
372,-0.95197,-0.48246,-1.22751,0.24923,-0.31685,CL5,CL6
373,0.49788,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
374,-0.95197,0.48246,-0.61113,0.96082,-0.31685,CL5,CL3
375,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL6,CL4
376,1.82213,0.48246,1.16365,0.96082,-0.31685,CL6,CL0
